d,n,m,i,time
0.3,5,10,23,0.012169001
0.3,5,10,24,0.013194628
0.3,5,10,25,0.018197467
0.3,5,10,26,0.015745655
0.3,5,10,27,0.013904367
0.3,5,10,28,0.013888266
0.3,5,10,29,0.017436852
0.3,5,20,0,0.029688975
0.3,5,20,1,0.022626483
0.3,5,20,2,0.019843485
0.3,5,20,5,0.023244107
0.3,5,20,3,0.02791214
0.3,5,20,4,0.027991018
0.3,5,20,6,0.023345811
0.3,5,20,8,0.021488568
0.3,5,20,7,0.027803827
0.3,5,20,9,0.024316364
0.3,5,20,10,0.023898262
0.3,5,20,11,0.019396062
0.2,50,30,19,6.316643791
0.3,5,20,13,0.018672118
0.3,5,20,12,0.022523145
0.3,5,20,14,0.021965516
0.3,5,20,15,0.019890882
0.3,5,20,17,0.018700603
0.3,5,20,19,0.017931282
0.3,5,20,16,0.031548109
0.3,5,20,18,0.027809333
0.3,5,20,20,0.022349341000000002
0.3,5,20,21,0.021677278
0.3,5,20,22,0.020271674
0.3,5,20,23,0.027705488
0.3,5,20,24,0.024009252
0.3,5,20,26,0.021073699
0.3,5,20,25,0.031102946
0.3,5,20,27,0.019829582
0.3,5,20,28,0.020573772
0.3,5,20,29,0.01793884
0.3,5,30,0,0.031975989
0.3,5,30,2,0.028599851
0.3,5,30,3,0.027309068
0.3,5,30,1,0.044005289
0.3,5,30,4,0.031337193
0.3,5,30,5,0.025260288
0.3,5,30,7,0.023967261
0.3,5,30,6,0.038046807
0.3,5,30,8,0.032463314
0.3,5,30,10,0.026124576
0.3,5,30,9,0.030243288
0.3,5,30,11,0.030508532
0.3,5,30,12,0.029665173
0.3,5,30,13,0.028956484
0.3,5,30,14,0.03326418
0.3,5,30,15,0.022830484
0.3,5,30,16,0.022928673
0.3,5,30,17,0.030021351
0.3,5,30,18,0.027438799
0.3,5,30,19,0.02717445
0.3,5,30,20,0.027071071
0.3,5,30,21,0.023635667
0.3,5,30,23,0.023850448
0.3,5,30,22,0.035248071
0.3,5,30,24,0.023466536
0.3,5,30,25,0.030271665
0.3,5,30,26,0.031021252
0.3,5,30,28,0.023985626
0.3,5,30,27,0.032985001
0.3,5,30,29,0.023868402
0.2,50,30,26,4.429416348
0.2,50,30,27,3.497636059
0.2,50,30,28,3.549729281
0.2,50,30,29,3.637732765
0.3,100,5,0,2.664983895
0.3,100,5,1,2.740384953
0.3,100,5,2,2.753020615
0.3,100,5,3,2.897702652
0.3,100,5,4,3.396675289
0.3,100,5,5,2.912987714
0.3,100,5,6,3.002784746
0.3,100,5,11,2.608288444
0.3,100,5,7,2.877409453
0.3,100,5,9,2.84916775
0.3,100,5,10,3.638714406
0.3,100,5,12,2.519605256
0.3,100,5,8,4.505224879
0.3,100,5,13,3.521484335
0.3,100,5,14,2.784322213
0.3,100,5,15,2.8834296
0.3,100,5,17,2.893808859
0.3,100,5,18,2.993573898
0.3,100,5,16,5.031612158
0.3,100,5,20,3.670041211
0.3,100,5,21,2.67519259
0.3,100,5,22,3.022113838
0.3,100,5,24,2.848359991
0.3,100,5,19,4.7719418
0.3,100,5,23,3.544243259
0.3,100,5,26,2.991716975
0.3,100,5,25,4.491965367
0.3,100,5,28,3.46413114
0.3,100,5,27,3.589824767
0.3,100,10,1,3.58656338
