r,n,m,i,bs,jri
0.2,30,5,1,0.13333333333333333,0.020114942528735632
0.2,30,5,2,0.2,0.027011494252873563
0.2,30,5,3,0.1,0.026436781609195405
0.2,30,5,4,0.16666666666666666,0.013218390804597703
0.2,30,5,5,0.16666666666666666,0.004597701149425287
0.2,30,5,6,0.23333333333333334,0.023563218390804597
0.2,30,5,7,0.16666666666666666,0.005172413793103448
0.2,30,5,8,0.1,5.747126436781609e-4
0.2,30,5,9,0.13333333333333333,0.016666666666666666
0.2,30,5,10,0.13333333333333333,0.020114942528735632
0.2,30,5,11,0.1,0.0022988505747126436
0.2,30,5,12,0.13333333333333333,0.01954022988505747
0.2,30,5,13,0.13333333333333333,0.017816091954022992
0.2,30,5,14,0.2,0.008620689655172414
0.2,30,5,15,0.1,0.02586206896551724
0.2,30,5,16,0.1,0.016666666666666666
0.2,30,5,17,0.16666666666666666,0.010919540229885057
0.2,30,5,18,0.13333333333333333,0.008045977011494253
0.2,30,5,19,0.16666666666666666,0.009770114942528735
0.2,30,5,20,0.1,0.013218390804597703
0.2,30,5,21,0.16666666666666666,0.020114942528735632
0.2,30,5,22,0.1,0.021264367816091954
0.2,30,5,23,0.13333333333333333,0.017241379310344827
0.2,30,5,24,0.2,0.006896551724137932
0.2,30,5,25,0.16666666666666666,0.007471264367816092
0.2,30,5,26,0.23333333333333334,0.04080459770114943
0.2,30,5,27,0.13333333333333333,0.003448275862068966
0.2,30,5,28,0.1,0.0028735632183908046
0.2,30,5,29,0.1,0.008045977011494253
0.2,30,10,0,0.16666666666666666,0.010217113665389526
0.2,30,10,1,0.2,0.005619412515964241
0.2,30,10,2,0.26666666666666666,0.022477650063856963
0.2,30,10,3,0.16666666666666666,0.0028097062579821204
0.2,30,10,4,0.2,0.014559386973180077
0.2,30,10,5,0.23333333333333334,0.008939974457215836
0.2,30,10,6,0.26666666666666666,0.016347381864623246
0.2,30,10,7,0.2,0.006385696040868454
0.2,30,10,8,0.23333333333333334,0.008684546615581098
0.2,30,10,9,0.3,0.005619412515964241
0.2,30,10,10,0.2,0.011494252873563218
0.2,30,10,11,0.26666666666666666,0.019667943805874843
0.2,30,10,12,0.2,0.013793103448275864
0.2,30,10,13,0.23333333333333334,0.01532567049808429
0.2,30,10,14,0.23333333333333334,0.01864623243933589
0.2,30,10,15,0.2,0.0066411238825031926
0.2,30,10,16,0.26666666666666666,0.009706257982120051
0.2,30,10,17,0.16666666666666666,0.009706257982120051
0.2,30,10,18,0.3,0.018901660280970626
0.2,30,10,19,0.2,0.004853128991060026
0.2,30,10,20,0.16666666666666666,0.009961685823754788
0.2,30,10,21,0.2,0.009961685823754788
0.2,30,10,22,0.13333333333333333,0.0038314176245210726
0.2,30,10,23,0.23333333333333334,0.010727969348659005
0.2,30,10,24,0.16666666666666666,0.00842911877394636
0.2,30,10,25,0.16666666666666666,0.009195402298850575
0.2,30,10,26,0.2,0.016347381864623246
0.2,30,10,27,0.2,0.006896551724137932
0.2,30,10,28,0.3,0.01532567049808429
0.2,30,10,29,0.26666666666666666,0.017879948914431672
0.2,30,20,0,0.23333333333333334,0.003266787658802178
0.2,30,20,1,0.23333333333333334,0.007017543859649123
0.2,30,20,2,0.4,0.0038717483363581366
0.2,30,20,3,0.3,0.004234724742891712
0.2,30,20,4,0.26666666666666666,0.00967937084089534
0.2,30,20,5,0.3,0.009437386569872959
0.2,30,20,6,0.2,0.0027828191167574108
0.2,30,20,7,0.4,0.014398064125831821
0.2,30,20,8,0.26666666666666666,0.008469449485783424
0.2,30,20,9,0.3,0.009074410163339382
0.2,30,20,10,0.16666666666666666,0.002177858439201452
0.2,30,20,11,0.13333333333333333,0.00205686630369026
0.2,30,20,12,0.16666666666666666,0.0027828191167574108
0.2,30,20,13,0.36666666666666664,0.012099213551119177
0.2,30,20,14,0.3333333333333333,0.004597701149425287
0.2,30,20,15,0.3333333333333333,0.009074410163339382
0.2,30,20,16,0.23333333333333334,0.012704174228675135
0.2,30,20,17,0.3,0.009195402298850575
0.2,30,20,18,0.3333333333333333,0.010889292196007259
0.2,30,20,19,0.26666666666666666,0.009437386569872959
0.2,30,20,20,0.23333333333333334,0.006170598911070781
0.2,30,20,21,0.2,0.0033877797943133695
0.2,30,20,22,0.23333333333333334,0.007743496672716273
0.2,30,20,23,0.26666666666666666,0.004597701149425287
0.2,30,20,24,0.16666666666666666,0.00895341802782819
0.2,30,20,25,0.3,0.007985480943738656
0.2,30,20,26,0.26666666666666666,0.009921355111917725
0.2,30,20,27,0.23333333333333334,0.008711433756805808
0.2,30,20,28,0.3333333333333333,0.008711433756805808
0.2,30,20,29,0.36666666666666664,0.010768300060496068
0.2,30,30,0,0.23333333333333334,0.005390408244153785
